review,rating
"amat sangat disayangkan buat pencairan'y tarlalu bertele-tele.setelah menunggu 1 bulan. hr pertama setelah isi data saya menunggu 3 hr, setelah 3 hr saya datang lg kekantor cabang setalah datang kirain bisa langsung cair, ternyata tidak saya masih menunggu 5 hr kerja, padahal uang'y amat sangat saya butuhkan untunk biaya hidup keluarga. mohon untuk pihak JMO proses pencairan agak dipercepat, kita gak tau orang tersebut membutuhkan uang untuk kluarga yg harus ditanggung biaya hidup'y/yg lain'y !!",1
bagus,5
sekarang mau login selalu kaga bisa sering eror sandi salah email salah padahal bnr ini gmn she aplikasi makin kurang Bagus iya tolong d perbaiki,5
Sangat membantu dan mudah di dimengerti,5
bsu saya kapan cair boozzs?,4
jmo memang mantap,5
sangat baik,5
nixe,5
good,5
BPJS ketenagakerjaan bagus sekali,5
bagus,5
mantap,4
mudah dan cepat,5
keren mempermudah,5
"Pelayanan maksimal, Customer Service Ramah, terutama Satpam BSD sangat baik, memprioritaskan pelanggan, membantu. Terima kasih.",5
aplikasi nya sngt bgs bintang 5 cap jempol dah,5
sangat bagus,5
aplikasi GK ada dihp,5
sangat membantu,5
mantap,5
aminn,5
mantap pokonamah,5
baik sekali,5
"Baik,bagus, lancar, smoga aplikasi nya bisa lebih bagus lg",5
"saya sangat puas dengan pelayanan dan juga arahan nya, terimakasih sudah membantu klaim JHT Saya ucapkan terima kasih banyak 🙏🙏🙏🙏",5
"sangat memebantu dengan perkembangan jaman sekarang yg swrba online dan satu lagi privasi aman terkendali ,meskipun agak deg² an kalau mau log in tkut salah²",4
sangat Membantu Sekali,5
sangat memudahkan,5
"Pengkinian data nya tolong dong diperbaiki aplikasi ini nyebelin banget datang ke cabang g ada respon,telfon call center ngabisin pulsa,chat sosmed g guna,uang hak sendiri kenapa dipersulit",1
mudah,5
is the beast beautiful,5
Mantap,5
Sangat bermanfaat sekali,5
nice,5
bagus,3
entah kenapa aplikasi pemerintah itu ribet,1
sangat bermanfaat dan mempermudah bagi pengguna'y,5
"sangat puasa,dan memudahkan",5
sangat bagus,5
cepat cair,5
"Semakin buruk aplikasi jmo skrg.susah untuk login.trik baru pemerintah..cape deh..🙄🙄. mending di kelola swasta lbh bagus segala kwalitasnya,tidak hanya ambil untungnya saja.",1
ok,5
Good,5
terbaik,5
mantap,5
Bagus,5
bagus,5
terimakasih atas infonya sangat membantu,5
bagus,5
nice,4
jmo luar biasa,4
mantap semua bisa jadi lebih mudah,5
oke,4
pelayanan sangat bagus...cepat ramah🙂 terimakasih untuk pelayanan JMO,5
ok,5
sangat baik,5
baik,5
"aplikasinya sangat Membantu,",5
sangat bagus,5
sangat membantu 👍👍👍,5
sangat membantu,5
mantap,5
mantap sangat membantu,5
dana bsu di korupsi,1
apk yang sangat membantu bagi masyarakat Indonesia terbaik,5
terima kasih atas kerja samanya untuk afk ini nice,5
kenapa nomor jmo baru saya tidak muncul ya padahal sudah saya tambahkan,1
bagus,5
Alhamdulillah sudah terdaftar makasih jmo,5
empat bntng dulu ya,4
sangat bermanfaat,5
ini apk aneh bgt buat login aja salah terus padahal email udah bener sandi udah bener masih aja dibilang salah gajelas bgt apk nya!,1
⭐⭐⭐⭐👍👍👍👍,5
kmi udh daftar melalui aplikasi gojek gimana cara loginny?,2
sangat membantu dan bisa mendaftakan diri sendiri,5
ditingkatkan lagi,1
lebih gampang dan mudah,5
selalu muncul data kepesertaan anda tidak ditemukan padahal semua data sudah sesuai,1
"JMO Luar biasa ,👍👍",5
bagus,5
lebih mudah dgm aplikasi mobile,4
sangat membantu memberikan informasi,5
baguss,5
bagus,5
sangat berguna,5
"mohon maaf kepada org2 baru mending jgn daftar lewat app ini,, error banget susah riweh, pdhl sdh dftar pas lagi keluar bentar sdh gak bisa balik, mana pas d cek sdh terdaftar tpi informasi data kita gak bisa dilihat,, haduuhh,, rasa dicuri dataku,, pas cek d status yg satunya belum terdaftar,, bingung nih",1
mantap,5
bagus,5
oke,5
mudah aksesnya,5
good,5
bagus,5
mantap,5
susah baget buat akun udah isi bener ga mau masuk2,1
baik,4
Ok lah👍,5
"sekarang jmo agak susah mau masuk akun pun susah, padahal kita sudah isi data yg benar tapi masih aja ngak bisa masuk akun.",4
sangat membantu dalam pengecekan saldo,4
Kerja gak becus.,1
"setelah update, saat mau login kenapa ada keterangan ""email yg anda masukan salah""... tolong bantu jawab min...",2
mantap,5
"mantap si, asal data lengkap pencairan hanya kedipan mata",5
memuaskan dan menguntungkan,5
sangat baik,5
nice,5
sangat membantu,5
semoga semakin maju dan berkembang jmo,5
sering error,1
sangat puas dengan aplikasi ini,5
sangat baguus,5
terimakasih,5
terimakasih,5
bagus aplikasi ini bisa membantu,5
JMO sangat membantu tenaga kerja,5
kren,4
cukup bagus,5
"saya mau bikin akun langkah kelima erorr, di syarat dan ketentuan setiap klik setuju selalu muncul pastikan koneksi internet terhubung sudah pake kuota, wifi hasilnya nihil mohon segera diperbaiki",1
BAIK,5
mantap,5
terima kasih sudah membantu adanya program ini,5
Semoga bisa lebih baik lagi,5
sangan baik,3
"gak jelas,norek sudah sesuai data yang lain sama tetep aja tidak bisa",1
"BSU hanya untuk PU dan BPU tidak dapat BSU. Sedangkan yang membutuhkan BSU itu BPU, karena tidak mempunyai gaji tetap seperti PU. Diharapkan lebih bijak lagi.",1
setiap buka jmo selalu harus di perbarui,3
mantap sekali,5
"kenapa kok saya perbaharui data saya malah susah banget min...,, data saya jd gak update jd nya..",1
bagus,5
mantap,5
cepat dan mudah,5
oke,5
mantap,5
👍👍👍👍👍,5
ok,5
sangat membantu,5
sangat bagus dan membantu,5
"Pelayanan nya sampah, Kalim JHT jadwal interview udah ada , dari BPJS gak kunjung menghubungi. mending bubarin aja.",1
sangat membantu,5
its best,5
bagus,5
pelayanan sangat baik..dan kita di arahkan dan di pantau sampai bisa..terima kasih bpjs ketenagakerjaan🙏,5
semoga lancar apk nya,5
sangat mudah untuk digunakan,4
bagus sangat membanty,5
mantap,5
Aplikasinya sangat mendukung dan memudahkan,5
oke,5
"bagus ,sangat membantu",5
mantap,5
sekarang sudah bagus tidak ada kendala lagi untuk login,5
sering ganguan mudah an bisa cair,5
kenapa app kok gk bisa di update ya..,2
bagus,5
good service,5
baik sangat baik,5
oke,5
aplikasi yang mudah difahami,5
mantap,5
mantap,5
mantapp,5
baik,5
"ini aplikasi bagaimana ya? ingin pengkiniaan data, tpi dikatakan foto tidak sama dengan yg ada di Ektp,, bagaimana caranya bisa foto di Ektp bisa sama trus menerus, sedangkan di foto Ektp ,di ambil hampir 13 tahun yg lalu,,",1
bagus,5
berfungsi dengan baik,5
"BSU gak cair cair padahal lolos verifikasi, udah nunggu dari bulan Juni sampai sekarang blm juga, chat ke WA agent nya sibuk mulu hadehhhhh",1
top,5
sangat membantu,5
"Baru daftar peserta tidak bisa login pas giliran daftar lagi udah terdaftar gimana sih, malah suruh bayar tolong perbaiki lah",1
bagus bagi yang sudah bekerja,5
GK guna,1
"Cara cek saldo nya gimana ya ? Kok ga ada , lebih bagus apk yg dulu JMO kurang lengkap fiturnya.",4
bagus,5
ok,5
"mau tanya dong..,kalau mau cek bsu kenapa ga bisa ( lama) padahal kuota ada...",5
mempermudah,5
sangat membantu,5
aneh mau pengkinian data tidak bisa foto eh tiba tiba di blokir harus ke kantor bpjs terdekat padahal saya belum melakukan foto 1X pun tpi udh kena blok baru juga mau pengkinian data ko makin kesini makin ngaco iya jmo,1
bagus,5
cukup bagus,5
sangat baik,5
sangat membantu sekali,5
bagus,5
"cepat,tepat,cekat",4
jaminan hari tua,5
bagus,5
sangat membantu.......,5
bagus,5
sangat membantu,5
bermanfaat,5
mantaf,5
nice,5
"sangat membantu, terima kasih banyak",5
ok luar biasa,5
Cepat mudah insa allah amanah,5
mantap,5
bagus,5
mantap tapi cara update rekening nya ga bisa ini,5
bagus untuk ngecek BPJS TK,5
sangat membantu,5
bagus banget apk ini bisa cairkan BPJS secara online tanpa harus website lapak adik,5
aplikasi ni sangat bagus👍,4
Penjelasan di dalam aplikasi JMO mudah dipahami 👍,5
bagus aplikasi nya,5
"mohon di bantu, saya terdaftar sebagai penerima bsu, tp ketika saya memasukan no rekening ternyata no rekening saya sudah tidak aktif. saya harus bagaimana ya.. terimakasih",5
👍👍👍,5
aplikasi jmo sangat membantu sekali,5
sangat lancar,5
lumayan membantu,4
sangat membantu 👍👍,5
saya mau masuk ke akun dftr gak bisa2 mohon bantuannya,4
bagus,5
sangat membantu,5
mantap ..mudah,5
KERENN CEPAT DAN AKURAT,5
bpjs terbaik,5
Error terus pas verifikasi wajah.. dikira bukan mukanya.. masa iya bukan mukanya.. aneh aplikasi.. bilang aja tidak bisa nyairin bpjs gw,2
mantap,5
tingkat kan mutu pelayanan menjadi yang terbaik,5
"Masukkan saja, kenapa untuk pembayaran via virtual account bank tidak ter-record di riwayat pembayaran?",4
mntap,5
kebanyakan eror gajelas,1
sanggar baikk,5
baik dan bermanfaat,5
sangat baik,5
sangat membantu,5
sangat bermanfaat,5
ok,5
bagus,5
nice,5
terbaik,4
Mohon untuk ditambahi pengkinian data untuk peserta BPU 2 program. (JKK&JKM). terima kasih.,5
lebih mempermudah saat proses pencairab,5
tidak ada kendala,5
kalau ada email dari pengguna tolong cepat dibalas.seperti kasus saya mau mengganti nomor rekening bank sebagai penerima BSU karena salah ketik.mau diambil di kantor pos tidak bisa.tolong direspon.terima kasih.,5
mempermudah,5
mantap,5
sangat membantu sekali,3
sangat membantu,5
bagus sekali,5
"Tolong aplikasi di update. Data gaji saya diaplikasi tidak sesuai dengan yang dilaporkan perusahaan. sudah melakukan pengkinian data dan pengaduan tetap tidak ada perubahan di aplikasinya, malah saya tidak bisa ikut program BSU.",1
"E-government payah, ada nya aplikasi ini seharusnya mempermudah bukan nya mempersulit.",1
kok sandi salah trs ni.. pdhl sandi udah bener..,1
"mau klaim JHT, datang ke kantor katanya gak bisa harus lewat jmo, setelah ke JM0 malah gak bisa, error Mulu.",1
bagus,5
baguss,5
sangat bagus,5
🤲🤲🤲,5
Aplikasi busuk. Buat update data alasa jaringan eror trs. Itu pada kerja ga bagian IT?? Buat klaim uang kita sendiri d persulit. Datang ke kantor eh d Sruh online. Emang kocak negara konoha Baca tu ulasan nya,1
cepat,4
"Emang aplikasih pemerintahaan udah paling sampah, udah bayar iuran 3 kali tapi di aplikasi ngak ke deteksi,notifikadi pembayaran pun ngak ada, aplikasi korupsi ini, bukanya memoermudah malah mempersusah masyarakat",1
sering erorr pas mau klaim,1
aplikasi apaan. buat pengkinian data aja jaringan eror trs. mau klaim lwt kantor pun d arahkan k aplikasi. ga profesional,1
sangat bermanfaat sekali,5
pengajuan claim luarbiasa cepat,5
mantap,5
membuat aku bingung,5
sangat bagus,5
aplikasi sangat membantu,5
jelek,1
lelet pas mau ngecek eror server Mulu dikit dikit update,1
mantap,5
pelayanan cepat dan bagus,5
bagus sangat membantu,5
Mantapp,5
ok,5
Bagus sekali,5
The best udah ini aplikasi dan programnya,5
"mengapa bantuan BSU tidak terlihat diakun saya, bagaimana caranya agar mendapatkan BSU",3
mudah login dan informatif,5
bagus,5
sangat membantu,4
sangat membantu,5
mantap,5
bagus pelayanannya,5
sangat membantu kami terimakasih atas pelayanannya yang terbaik,5
sangat membantu,5
Terimakasih aplikasih ini sangat membantu jadi bisa urus dari rumah jhtnya 🙏,5
semua proses jadi mudah,5
Bagus,5
ok siip tpi bsu q belum cair,5
👍,5
layanan cepat,5
Bagus aplikasi mudah sekali,1
terima kasihJMO.mantappp,5
mantap,5
sangat baik,5
baik sekali,5
keren,4
baik sekali,5
sangat mudah penggunaannya,5
sangat membantu,4
Kl ada yg mudah kenapa harus dieprsulit..klaim lwt aplikasi JMO lbh cepat,5
bagus sih cuma ngga komplit.ngga bisa cek bantuan bsu,4
keren sih APK ini,5
sip bagus,5
sangat mudah mencairkan BPJS tenaga kerja di jmo,5
ok,5
"cepat prosesnya, luar biasa",5
semoga bermanfaat,5
sayang sekali untuk mengubah data spt no hp tidak bisa melalui aplikasi ini. harus datang ke kantor nya. sangat merepotkan,3
aplikasi ok lancar,5
baik,5
sangat senang mudah di gunakan,5
akurat sangat membantu,5
mantap,5
"ang gak bisa buat aplikasi yang bisa menyimpan kata sandi? Kalau alasan demi keamanan, HP sekarang sudah ada fitur kunci aplikasi dan itu sudah cukup aman daripada harus menghapal banyak kata sandi untuk banyak aplikasi.",1
"Sudah berulang ulang, daftar dk mau",1
Kenapa aplikasi ini tidak berlaku di hp saya yg android versi 5? Masa iya harua beli hp baru hanya untuk punya aplikasi ini? Kan menyusahkan pengguna,1
sangat baik,5
sangat baik,3
semoga pengajuan jht ibu saya ats nama wahyuningsih dapat di cairkan.. doakan semua y teman²..makasih,5
jd bisa cek saldo,4
Alhamdulillah sangat memuaskan,5
sangat membantu,5
mantapppp,4
"terbaik, aman dan terpercaya",5
"Apk tidak di bisa di gunakan, buat Login Aja Susah",1
baik,5
mantap,5
"Gabisa pengkinian data,sayang banget saldo yang di kartu ga aktif,males ke Dateng ke kantor bpjsnya,ribet soalnya",2
simpel,5
bagus,5
mantap,5
mantap,4
biar bintang yang berbicara,5
sangat bagus,5
APLIKASI GAMUTU.. SERING EROR..,1
oke 👌,5
"aplikasi nya bagus , sangat membantu banget 😊🙏 , terimakasih 😊",5
sangat buruk.,1
baik,5
mempermudah pengecekan saldo BPJS,5
sangat baik dan membantu dan menyenangkan dan berkah,5
oke kok,5
sangat baik,3
sangat membantu,5
memudahkan karyawan untuk melihat info. terbaru mengenai hak yg harus di dapat secara transparan.,5
sukses Selalu,5
bagus sangat membantu,4
sangat membantu/bermanfaat,5
berguna untuk pekerja,5
Sangat baik mudah digunakan dan mudah transaksi,5
"coba login berkali kali tidak bisa masuk terkendala akun lama,, mereset sandi pun tidak do acc lewat email mohon pe.cerahan nya",3
Bagus,5
ok,5
jmo mantap,5
mantap,5
ok,4
mantapp,5
sangat membantu. meringankan beban peserta,5
memudahkan kita cek saldo JHT,5
baguusss,5
bagus dan aman,5
bagus,5
sangat membantu twpi kadang suka eror gabisa masuk,4
"kenapa BSU saya belum cair,padahal daftar terverifikasi tanggal 8 juni?",3
terimakasih,5
"Aplikasi nyusahin, setiap keluar harus login ulang 🤦‍♂️🤦‍♂️",1
sangat bagus,5
knpa saya gak bisa nambah kpj,1
sangat sangat terbantu adanya jmo bisa dgn mudah mencairkan bpsj🤩,5
lebih di tingkat kan lagi 👍🙏,5
membantu,5
Terbaik,5
sangat berguna buat yg punya BPJS pkoknya,5
baguuuss,5
bagus,5
mantap easy and fast respons,5
"Luar biasa, dan sangat puas",5
👍🏻,5
Ok,5
sangat membantu,5
terimakasih,5
Bagus,5
bagus,5
bagussss,5
aplikasi mantap bagus,5
baik,5
trimakasih app bpjs mantaap banyak membantu tentang bpjs.. lancar lancar,5
baik,3
baik,4
"plis kasih solusi agar bisa masuk ke akun jmo nya,saya pengen reset akunya,",1
sering bgt di perbaharui tapi gk mau lagi kebuka aplikasinya padahal akun dan paswrdnya sudah sesuai,3
bagus,5
sangat puas,5
sangat baik,5
mantap sangat membantu,4
bagus,5
terbaik,5
mantap,5
sya merasa terjamin di hari tua,5
mantap,5
baik,5
cepat dan terpercaya,5
ok,5
ok,5
lebih mudah dengn apk jmo,5
sangat baik,4
Mantap,5
sangat membantu,3
sangat membantu tanpa harus ke kantor cabang lagi🙏,5
"woy buruan verivikasi kocak, lama bener buset dah 😤",2
JMO...MUANTAAPPPP,5
mantap,5
JMO sangat bagus,5
good,5
Aplikasi Yang Sangat Membantu,5
kenapa saya pengkinian data selalu gak bisa ya? mohon bantuannya,5
bagus,5
sangat membantu,5
oke,5
mantab,5
good,5
sangat bermanfaat,5
sangat membantu banget❤️❤️,5
apk apa ini gak jelas masa eror mulu,1
aplikasinya bagus,5
sangat bagus jiga bisa di buka aplikasi nya,5
dicoba dulu ya klu memang membantu cara pengurusannya apa yg dibilang di apllsnya amin,5
sangat bermanfaat,5
jmo mantap,5
ok,5
sangaat berguna,5
baik,5
ok,5
error terus sih,1
bagus,5
"sangat bagus, membantu sekali semoga semakin sukses kedepannya",5
sangat baik. membantu dalam proses pencairan 🙏🏻,5
Aplikasi JMO sangat membantu untuk kami para pekerja...JMO mantap,5
kenapa tidak bisa di cairkan 50%. seandainya bisa di cairkan 50% peserta bisa buka usaha kecil-kecilan. lumayan buat tambahan,3
mantap,5
update dan cepat,5
sangat mudah di gunakan,5
bintang 4 dulu,4
bagus,5
ok,5
Sangat puas,4
ok,5
sya sangat suka dengan jmo ini,5
Mantap kali bah aplikasi ini lah....,5
bagus,5
bagus,5
keren,5
sangat baik dan memuaskan,5
sangat membantu bagi pekerja pensiunan untuk mengklaim dengan mudah melalui aplikasi ini,5
bagus,5
ok,3
mantap,5
sangat membantu,5
BSU hanya mitos,1
mantap,5
mantap,5
Terbaik,5
mantap,5
Alhamdulillah sangat puas,5
"Proses claim sangat mudah, dan cepat",5
"Saya mau tanya ko jmp gak bisa di buka ya, kenapa setiap login keluarnya perbarui terus, padahal udah saya perbarui tapi masih tetap gak bisa login, malah pemberitahuan perbarui lg",1
Jmo semakin di depan,5
memper mudah peroses klam sangat membantu,5
pelayanan sangat bagus,5
apk yang sangat keren,5
bagus,5
sangat membantu,5
terbaik proses nya cepat,5
lebih mudah cepat dan jelas suka bangett,5
Knp gak bisa di buka jmo nx ya,1
Susah x Buat Mendaftar. Apa karna Dari Pihak kantornya Yang Membuat susah Jadi Pendaftar melalui Online,1
puas,1
top,5
JMO mantap untuk semua,5
top markotop pelayanan terbaik,5
mantapp banget,5
goodluck,4
aplikasi yang sangat membantu 👍 mudah dan praktis,4
mantap,5
sangat membantu,5
Memuaskan,5
tingkat kan keamanan,4
sangat bermanfaat,5
sangat baik,5
sekali lagi komentar utk aplikasi JMO memang mantap👍🏻👍🏻👍🏻,5
bagus,5
login bolak balik ganti pasword bolak balik gak bisa masuk🤦‍♂️ maunya apa sih app ini🤦‍♂️,1
Baik sekali,5
sangat membantu sekali,5
mudah.. cepat,4
Bagaimana cara mengetahui nomor rekening di JMO soalnya saya lolos sebagai penerima bsu 2025 tapi dana belum cair.,5
sangat bagus,5
terbaik,5
mantap sangat simple dan memudahkan naker trm kasih,5
👍👍,5
aplikasinya sangat mendukung,5
bagus,4
"aplikasi busuk gak bisa login tiba tiba, padahal password dan email sudah sesuai",1
"bagus, sangat membantu",5
saya suka aplikasi nya,5
mantap,5
bagus,5
muda2 bisa login kasian,4
mudah dipakai sangat simpel,5
bagus,5
lumayan baik,5
Terbaik,5
bagus,5
sangat membantu dan mudah dipahami,5
Sangat memuaskan,5
belum mencobanya,2
pas pendaftaran nggak jelas,1
sangat bagus sangat membatu,5
burukkkk,1
sangat menguntungkan,5
"mantap, BSU belum Cair",5
ok,5
menarik,5
bagus sekali,5
terimakasih,5
"sudah cukup memuaskan, sekedar masukan untuk pengisian tgl lahir dan tahun kalau bisa dibuat agar lebih mudah dengan cara pengetikan saja agar tidak terlalu jauh scroll sampai tgl bulan dan tahun lahir yang sesuai, terima kasih, semoga lebih baik kedepannya",5
super istimewa,5
gabisa berkata kata kacau bener ni apk,1
bagus banget,5
mantap,5
baik,4
keren dan membantu,5
bagus,5
"aplikasi alakadarnya. mau dikasih masukan juga percuma, karena emebl2 punya pemerintah.",1
luar biasa,5
"gak bisa daptar gak bisa login,",1
membantu,5
gak ribet make aplikasi ini,5
mntap,4
bagus,5
Alhamdulillah akun kembali,5
bagus,5
"lebih simple, terimakasih bpjs",5
sangat bagus,5
bagus,5
👍bagus,5
sangat membantu...,5
mantap jasmani dan rohani,5
sangat baik,5
JMO keren,5
Baik,5
aplikasi mudah dipahami dan cepat,5
aplikasi ini sangat baik.,5
jmo lebih jaya,5
oke bos,5
sangat responsif selalu tingkatkan pelayanan,5
ok mantap pisan,5
bagus laa,5
sangat membantu,5
sangat bermanfaat,3
mantap ini lebih mudah dan efisiensi 👍,5
seharus Anya kerja sama dengan pinjol biar mempermudah dan mengembangkan layanan (dengan satu aplikasi) banyak kemudahan yg di dapat.,5
sesuai,5
ini aplikasi yang oaling srring diupdate. setiap masuk di update padahal blm ada 1 minggu di perbaharui ini malah minta di perbaharui lagu. hadehh. isinya sama doang,2
"mantap , maju terus",5
"aplikasi JMO , mudah dan ringan ..",5
bagus,5
proses klaim mudah,5
mantap dan bermanfaat,5
sangat membantu,5
ok,5
oke,5
sangat baik,5
sangat senng mengunakan aplikasi jmo bisa cek saldo jmonya bisa untuk mencairkan tapi cuma 1x nya aja kalau nyairkan saldo 2x lwt aplikasi ini gak bisa bisa harus lewat calo☹️,5
Sangat bagus,5
mantaaapppp kale,5
cepat aman terpercaya,5
"sangat bermanfaat bagi kami yang bukan PNS, terima kasih",5
sangat membantu,5
sangat puas dengan layanannya,5
sangat memudahkan,5
sangat mudah dipahami fiturnya,5
terbaik pelayalanannya,5
mantap,5
"saat melakukan kode Verifikasi, malah kembali ke halaman sebelumnya (masuk data diri)",4
bagus,5
Susah log in Keseringan update,2
cepat dan tanggap,5
"pelayanan yang sangat cepat tanpa perlu ke kantor bpjs,sangat terbantu bagi saya yang rumahnya jauh dari kantor",5
aplikasi sangat sangat membantu,5
sangat membantu,5
udah di update masih aja gak bisa login emang ga jelas,1
pencairan saldo lelet lama kurang cepet,1
Sangat membantu aktivitas saya.,5
mantap,5
sangat puas,5
mantap,5
pencairan cepat,5
bagus,4
lebih maju lagi,5
Terimakasih,5
sangat membantu,5
tolong bantu saya jmo saya lupa password lupa email,5
mudah dan cepat respon terbaik,5
membantu bangeeet mantaaab untuk sayaa,5
ok,5
"mudah klaim bpjs lewat jmo, terimakasih",5
"pengaduan masalah upah yang tidak sesuai tidak ada solusi,investigasi belum pernah adanya investigasi dari pihak disnaker maupun jamsostek STATUS DINYATAKAN PERUSAHAAN PATUH,PATUH DI MANANYA jelas jelas gaji yang di terima karyawan tiap bulannya dengan gaji yang di laporkan ke JAMSOSTEK tidak sama,,pungsi menu pengaduan buat apa di sediakan,pelayananya sangat buruk & amburadul,tidak sesuai yang di inginkan peserta dalam hal menangani permasalahan pengaduan mengenai GAJI KARYAWAN.",1
it's awesome,5
sangat membantu untuk informasi pekerja,5
Sangat membantu,4
aplikasi yang mantaaap,3
mudah dan cpt jika tdk salah,5
Lebih mudah dan prakris,5
good apkications,5
ok,5
best mudah prosesnya,5
aplikasinya mantap,5
baik,5
sangat membantu,5
perfect,5
pelayanan sangat luar biasa,5
pokoknya jmo top💘💘💘💘💘,5
proses cepat dan lancar..,5
mantap semoga kedepannya lebih bagus,5
sangat baik,5
bjps keren🙌,5
pelayan cepat ramah terus berbuat kebaikan tanpa pamrih terima kasih:),5
Aplikasi JMO sangat membantu pekerja dalam segala hal yang berhubungan dengan jaminan sosial tenaga kerja. Terima kasih JMO,5
sangat baik,3
sudah beberapa kali konfirmasi yg blas bot mulu dan jawabannya gak sesuai dengan pertanyaan. Mana bsu juga gak tau tu gimana kelanjutannya,1
bagus dan cepat,4
sangat amanah,5
baik,5
Mempermudah semuanya,5
mantap djiwa sangat membantu,5
sangat membantu sekali,5
sangat bermanfaat dan membantu,5
sangat membantu,5
semua proses cepat dan mudah di pahami,5
cek kartu digital gak bisa .. akun tidak ditemukan log out Log in lagi tetep sama hasilnya NIHIL Sudah pembayaran lancar masih aja kayak gini kalo gak siap pake aplikasi GAK USAH SOK PAKE APLIKASI .. BPJS KOCAAAK,1
Sy sdh lolos verifikasi BSU. Tp sama skali tidak ada tranfers.an dr pihak pemerintah.. aneh,3
Untuk apk yang mantappp,5
baik,5
bagus mudah di mengerti,5
Sangat bermanfaat,5
mantap,5
sangat baik,5
cepat,5
mantap makan atap,5
sangat membantu,5
baik recomended,5
saya berharap lebih di tingkatkan lgi pelayanan nya🙏,5
baguss,5
Mudah Dan Cepat,5
sangat memuaskan,5
"sangat membantu,proses cepat",5
sangat membantu,5
sangat efektif,5
mantapp.... cepet sekali pengajuan klaimnya. sattt settt,5
sangat puas,5
memuaskan,5
kenapa udah daftar tapi belum ada kartu digitalnya?,4
bagus untuk informasinya,4
sangat bermanfaat,5
okey,5
mantap,5
"JMO kini lebih mudah, terimakasih",5
terbaik,5
luar biasa,5
sangat memudahkan dan praktis,5
Prosesnya Berapa Hari Sih Buat Cair Kok Lama Banget Padahal Di Bawah 10 JT Kok Pencairan Lebih Dari 1 Minggu? tolong dong Bantu Jelasin,1
Semenjak ada aplikasi JMO (jamsostek Mobile) jadi lebih mudah,5
oke,4
sekarang bisa cek saldo,5
sangat puas,5
bagus,4
pelayanan memuaskan,5
Juooosssss,5
sangat puas,5
bagus dan lengkap,5
